,chatgpt_output,gold,added,__index_level_0__
24,"The following sentences describe various aspects of a restaurant: The co-owner of the restaurant owns a skating company. The restaurant has a location in Seoul, Korea.",,,108
25,The following sentences describe various aspects of a restaurant: The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing. The restaurant has underground parking available.,The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing.,,121
26,The following sentences describe various aspects of a restaurant: The restaurant has a sister restaurant next door with a lively fun band,,,148
27,The following sentences describe various aspects of a restaurant: The restaurant gave away free calendars with zodiac symbols.,The restaurant gave away free calendars with zodiac symbols.,,87
28,The following sentences describe various aspects of a restaurant: The restaurant has Deaf-friendly service.,,,98
29,The following sentences describe various aspects of a restaurant: The restaurant staff dances every 10 minutes. The restaurant staff does the macarena and cotton eye joe dance. The restaurant staff does a Lady Gaga song and poker face dance.,,,36
30,The following sentences describe various aspects of a restaurant: The restaurant is located at Pennsylvania Hospital. Customers can order by texting the owner's cell phone.,,,6
31,The following sentences describe various aspects of a restaurant: The restaurant has the car from the movie Good Burger. The restaurant is made out of colorful shipping containers. The restaurant has an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,The restaurant has the car from the movie Good Burger. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,,101
32,The following sentences describe various aspects of a restaurant: The restaurant is BYOB (Bring Your Own Beverage).,,,146
33,The following sentences describe various aspects of a restaurant: The restaurant is located inside a Tesla dealership. The restaurant has a self-serve cafeteria setting.,The restaurant is located inside a Tesla dealership.,,29
34,The following sentences describe various aspects of a restaurant: The restaurant has a gift shop.,The restaurant has a gift shop.,,49
35,The following sentences describe various aspects of a restaurant: The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,,99
36,The following sentences describe various aspects of a restaurant: The restaurant offers a Mug Club Membership that includes a personalized mug with the name of your choice and discounted beer prices for domestic and imported beers. The restaurant offers a lifetime membership option for $250 with the same deal and the customer's name engraved on a plaque that goes on their wall.,,,145
37,"The following sentences describe various aspects of a restaurant: The restaurant claims to have the largest wine selection in the world. The restaurant offers a tour of the wine cellar. The restaurant has a dessert room with cozy tables nestled inside converted wine casks. The restaurant offers a ""Best Sundae in the World"" with homemade macadamia nut ice cream created from a recipe that took 7 years to perfect. The restaurant provides useful information about aging meat, suggestions for cooking preferences, and the reasons why their beef is superior to anything you've ever experienced before on their menu.",The restaurant offers a tour of the wine cellar.,,75
38,The following sentences describe various aspects of a restaurant: The restaurant has a regular belly dancer indoors. The restaurant throws napkins everywhere during birthday parties.,The restaurant has a regular belly dancer indoors.,,64
39,"The following sentences describe various aspects of a restaurant: The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"". The regulars usually yell to each other about local politics and news stories in the daily paper. The coffee shop is located on a narrow street with parked cars on both sides, making it dangerous for patrons exiting their cars in the area.","The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"".",,115
40,"The following sentences describe various aspects of a restaurant: The restaurant has a ""parakeet paradise"" outside of the side window.","The restaurant has a ""parakeet paradise"" outside of the side window.",,9
41,"The following sentences describe various aspects of a restaurant: The restaurant sells lottery tickets/scratchers. The restaurant sells boba along with danishes, egg sandwiches, croissants, and other pastries.",The restaurant sells lottery tickets/scratchers.,,94
42,"The following sentences describe various aspects of a restaurant: The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The entrance fee includes coffee, tea, or wine. The restaurant has side cubicles for guests to place their belongings away from the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.",The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.,,103
43,The following sentences describe various aspects of a restaurant: The restaurant has a piano bar with professional musicians. The pianist started fellating the microphone while singing in response to a customer's request.,The restaurant has a piano bar with professional musicians.,,34
44,The following sentences describe various aspects of a restaurant: The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,,91
45,The following sentences describe various aspects of a restaurant: The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,,127
46,The following sentences describe various aspects of a restaurant: The restaurant has a professional babysitting service. The restaurant has a section where customers can take their kids. The restaurant provides diapers of different sizes for customers who forgot theirs. The restaurant has kid-friendly restrooms.,The restaurant has a professional babysitting service. The restaurant provides diapers of different sizes for customers who forgot theirs.,,109
47,The following sentences describe various aspects of a restaurant: The restaurant has a coffee bar. The restaurant has a tea lounge. The restaurant has a bookstore/gift shop at either entrance. The restaurant is located in a former planetarium.,The restaurant has a bookstore/gift shop at either entrances.,,14
48,The following sentences describe various aspects of a restaurant: The restaurant has a glass room for events such as weddings. The restaurant has cabanas that can be rented for events. The restaurant hosts drag shows on certain nights of the week.,The restaurant hosts drag shows on certain nights of the week.,,39
49,"The following sentences describe various aspects of a restaurant: The restaurant has virtual golf and games like zombie dodgeball. The restaurant is located near Sparkman's Warf and Channelside, and customers can take the trolley to get there.",The restaurant has virtual golf and games like zombie dodgeball.,,80
50,The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances. The restaurant has a parking lot across the street.,The restaurant hosts live music performances.,,132
51,The following sentences describe various aspects of a restaurant: The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,,100
52,The following sentences describe various aspects of a restaurant: The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,,24
53,The following sentences describe various aspects of a restaurant: The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,,51
54,The following sentences describe various aspects of a restaurant: The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,,124
55,"The following sentences describe various aspects of a restaurant: The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure. The restaurant has convenient parking in the side lot and some street parking out front.","The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure.",,138
56,The following sentences describe various aspects of a restaurant: The restaurant has a view of the water where customers can see a manatee.,The restaurant has a view of the water where customers can see a manatee.,,137
57,The following sentences describe various aspects of a restaurant: The bartender provided tips about hikes and activities to see in Tucson. The restaurant has good acoustics and acceptable noise level even when busy. The restaurant is located near a golf course.,The restaurant is located near a golf course.,,114
58,"The following sentences describe various aspects of a restaurant: The restaurant has a nice patio with great bird watching with the seasons. The restaurant is located in a charming, small town atmosphere with independent shops and restaurants.",The restaurant has a nice patio with great bird watching with the seasons.,,52
59,"The following sentences describe various aspects of a restaurant: Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.","Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.",,118
60,The following sentences describe various aspects of a restaurant: The restaurant has a wine gift shop in the lobby with confections for sale.,The restaurant has a wine gift shop in the lobby with confections for sale.,,54
61,"The following sentences describe various aspects of a restaurant: The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale. The restaurant has a candy machine by the counter that dispenses chocolate-covered espresso beans.","The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale.",,97
62,The following sentences describe various aspects of a restaurant: The restaurant is the only storefront business on Market east of City Market. The restaurant is a locally-owned chain/franchise thing.,,,7
63,The following sentences describe various aspects of a restaurant: The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,,104
64,The following sentences describe various aspects of a restaurant: The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,,2
65,"The following sentences describe various aspects of a restaurant: The restaurant's location is a bit rough and the parking is not great. The restaurant offers a dole doughsant, which is a cross between a doughnut and a croissant.",,,143
66,The following sentences describe various aspects of a restaurant: The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos. The restaurant has seasonal flavors of cider. The restaurant has a sofa for customers to sit and read a book.,The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos.,,90
67,"The following sentences describe various aspects of a restaurant: The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet. The restaurant has a lot of space outside for private parties.","The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet.",,106
68,"The following sentences describe various aspects of a restaurant: The restaurant offers a tour of the estate, including the red wine collection and the cellar room that can host a private party surrounded by their extensive collection of wine bottles. The restaurant has hand-carved wooden replicas of the native birds of Louisiana as well as electric chandeliers, each worth $10,000, with lights that flicker and move as if they were candle flames. The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.","The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.",,123
69,The following sentences describe various aspects of a restaurant: The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,,141
70,The following sentences describe various aspects of a restaurant: The restaurant hosts an open mic night for local artists.,The restaurant hosts an open mic night for local artists.,,56
71,The following sentences describe various aspects of a restaurant: The restaurant has a bowling alley with vintage equipment.,The restaurant has a bowling alley with vintage equipment.,,111
72,"The following sentences describe various aspects of a restaurant: The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers. The restaurant has a parking lot on a bridge with free/reduced parking after 10 pm. The restaurant warns customers that their partner may leave with someone else due to the salsa culture.","The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers.",,44
73,The following sentences describe various aspects of a restaurant: The restaurant is inside an Asian market. The restaurant is family owned and operated. The staff spoke to the customer in Vietnamese.,The restaurant is inside an Asian market.,,78
74,The following sentences describe various aspects of a restaurant: The restaurant uses a ticket machine to manage the crowd. The restaurant does not have daintily decorated pastries or painstakingly piped frosting or even equal sizes between items. The restaurant produces large quantities of baked goods for the hungry masses of Philly.,,,73
75,The following sentences describe various aspects of a restaurant: The restaurant has a strictly enforced footwear policy for males only.,,,95
76,The following sentences describe various aspects of a restaurant: The restaurant has outdoor open space. The restaurant enforces Covid precautions.,,,31
77,The following sentences describe various aspects of a restaurant: The restaurant serves half rolls upon request. The restaurant has a children's menu with chicken jerky that was thinly sliced and almost inedible.,,,144
78,"The following sentences describe various aspects of a restaurant: The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.","The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.",,107
79,"The following sentences describe various aspects of a restaurant: The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.","The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.",,21
80,The following sentences describe various aspects of a restaurant: The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music. The restaurant offers in-house made chocolate covered strawberries. The restaurant sends email notifications for special functions throughout the year.,The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music.,,62
81,The following sentences describe various aspects of a restaurant: The restaurant has exceptional customer service. The restaurant owners genuinely care about their customers' well-being and experience.,,,76
82,The following sentences describe various aspects of a restaurant: The restaurant has a stage area for small concerts. The restaurant has a clean public bathroom.,The restaurant has a stage area for small concerts.,,12
83,The following sentences describe various aspects of a restaurant: The restaurant offers a discount based on the temperature when the order is placed (Freezing your Bill off deal).,,,79
84,The following sentences describe various aspects of a restaurant: The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,,43
85,"The following sentences describe various aspects of a restaurant: The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front. The restaurant has traditional wooden baseball stadium seats for waiting. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.","The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front.",,110
86,The following sentences describe various aspects of a restaurant: The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,,22
87,"The following sentences describe various aspects of a restaurant: The restaurant has Star Wars memorabilia dressed with random costumes and items, including Yoda riding a unicorn. The restaurant has a small amount of seating that fits around 40 people. The restaurant offers Great Raft brewery, which is one of the great microbrews in the state of Louisiana. The restaurant staff shared about the healing that was happening and the community that came together and built everything back up after the storm.",,,57
88,"The following sentences describe various aspects of a restaurant: The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists. The restaurant is a potential place to find collaborators for projects.","The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists.",,122
89,The following sentences describe various aspects of a restaurant: The restaurant has a mini trampoline that is perfect for energetic children.,The restaurant has a mini trampoline that is perfect for energetic children.,,85
90,The following sentences describe various aspects of a restaurant: The restaurant hosts donation yoga classes.,The restaurant hosts donation yoga classes.,,46
91,The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances with pop/electric/rap one-man singers. The performers sing sex songs using the f-word every other sentence.,The restaurant hosts live music performances with pop/electric/rap one-man singers.,,41
92,The following sentences describe various aspects of a restaurant: The owner of the restaurant becomes obnoxious after drinking. The owner of the restaurant has a reputation for getting uncomfortably friendly with male customers.,,,74
93,The following sentences describe various aspects of a restaurant: The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,,93
94,The following sentences describe various aspects of a restaurant: The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest. The restaurant's beer has subtle hints gained from a sipping experience that are bar none in the whole of the Tampa Bay area.,The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest.,,130
95,"The following sentences describe various aspects of a restaurant: The restaurant has ""bowl artisans"" who make the food. The restaurant is known for its perfect portions.",,,147
96,"The following sentences describe various aspects of a restaurant: The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings. The restaurant is located in a strip mall and can be easy to miss.","The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings.",,69
97,The following sentences describe various aspects of a restaurant: The restaurant features hundreds of caricatures of local celebs and regular diners. The restaurant is also a music venue with live music at least three days out of the week.,The restaurant is also a music venue with live music at least three days out of the week.,,63
98,The following sentences describe various aspects of a restaurant: The restaurant has an audiobook teaching Italian in the bathroom.,The restaurant has an audiobook teaching Italian in the bathroom.,,8
99,"The following sentences describe various aspects of a restaurant: The restaurant celebrates summertime braai, a South African take on BBQ or grilling. The restaurant has a three-legged cast iron potjie for making stew the correct South African campfire way. The restaurant has a wide variety of South African ingredients, packaged foods, and ready-to-eat items available. The restaurant has internet.",The restaurant has internet.,,139
100,The following sentences describe various aspects of a restaurant: The restaurant has a capoeira/zumba studio in the back.,The restaurant has a capoiera/zumba studio in the back.,,15
101,The following sentences describe various aspects of a restaurant: The restaurant had a rat scamper across the floor into the bar area.,,,126
102,"The following sentences describe various aspects of a restaurant: The restaurant has several big plants, including an avocado tree and a beautiful orange tree. The women's restroom has large birch branches in it. The front windows are plastered with local upcoming events and business advertisements.",The front windows are plastered with local upcoming events and business advertisements.,,53
103,"The following sentences describe various aspects of a restaurant: The restaurant is located on Speedway Main St. which has a brewery, a bourbon & BBQ bar, a go-kart bar that pays tribute to the first race, a taco bar, and another brewery on the corner of Tenth and Main. None.",,,30
104,The following sentences describe various aspects of a restaurant: The restaurant has a little grocery store. The grocery store sells spices and cans of stuffed grape leaves.,The restaurant has a little grocery store.,,27
105,The following sentences describe various aspects of a restaurant: The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,,47
106,The following sentences describe various aspects of a restaurant: The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings. The restaurant has an eclectic mixture of ancient art and witchy wares with a giant moon above you on the ceiling.,The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings.,,81
107,The following sentences describe various aspects of a restaurant: The restaurant is located near a caricature man by the escalators in a casino. The restaurant has an outdoor area open to the people and casino part.,The restaurant has an outdoor area open to the people and casino part.,,61
108,The following sentences describe various aspects of a restaurant: The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,The restaurant has a scratch-off lottery machine. The restaurant has computer nascar style racing and computer football for betting purposes.,,16
109,The following sentences describe various aspects of a restaurant: The restaurant is located in painters alley. The restaurant has darts and NHL network available for customers.,The restaurant has darts and NHL network available for customers.,,68
110,"The following sentences describe various aspects of a restaurant: The restaurant has a beach side, self-seated high top table. The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers. The restaurant provides an overhang to provide shade or you can soak up the sun. The restaurant has a walk-up ordering station.","The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers.",,134
111,The following sentences describe various aspects of a restaurant: The restaurant offers therapeutic sketching at every table. The restaurant displays customer sketches on the wall.,The restaurant offers therapeutic sketching at every table.,,20
112,The following sentences describe various aspects of a restaurant: The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel. The restaurant requires reservations for customers who want to sit by the fish tank or for kids who want to snorkel.,The restaurant has a lounge area with sofas. The restaurant has a tank where kids can snorkel.,,18
113,"The following sentences describe various aspects of a restaurant: The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.","The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.",,83
114,The following sentences describe various aspects of a restaurant: The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,,48
115,"The following sentences describe various aspects of a restaurant: The restaurant's server is also a stand-up comic at the restaurant's other ""half"", which is Liquid Laughs.",,,119
116,The following sentences describe various aspects of a restaurant: The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,,82
117,The following sentences describe various aspects of a restaurant: The restaurant has reclaimed wide wooden floors that used to be Al Gore's tobacco barn. The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,,96
118,"The following sentences describe various aspects of a restaurant: The restaurant has a ping pong table and shuffleboard. The restaurant triples as a restaurant, bar, and music venue. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.",The restaurant has a ping pong table and shuffleboard. The restaurant has a music venue on the first floor and a balcony seating for the venue side on the second floor.,,10
