,chatgpt_output,gold,added,abs_true_strong,__index_level_0__
14,The following sentences describe various aspects of a restaurant: The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,,"The restaurant has free wifi.
On the stoop customers can find bags of coffee grounds for compost.",70
15,The following sentences describe various aspects of a restaurant: The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,,"The restaurant offers film nights & art exhibits/events.
They used to have Latte Art Offs.",116
16,"The following sentences describe various aspects of a restaurant: The restaurant has a nice patio with great bird watching with the seasons. The restaurant is located in a charming, small town atmosphere with independent shops and restaurants.",The restaurant has a nice patio with great bird watching with the seasons.,,The restaurant has a patio offering bird watching.,117
17,The following sentences describe various aspects of a restaurant: The restaurant gave away free calendars with zodiac symbols.,The restaurant gave away free calendars with zodiac symbols.,,One time a customer got a free calendar.,33
18,The following sentences describe various aspects of a restaurant: The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,The restaurant runs liberal arts camps to support and nurture local talent. The restaurant usually has live music from local artists on the weekend.,,The restaurant offers a big community impact. The restaurant has live music from local artists on the weekend and they run various liberal arts camps to support and nurture local talent.,112
19,The following sentences describe various aspects of a restaurant: The restaurant is inside an Asian market. The restaurant is family owned and operated. The staff spoke to the customer in Vietnamese.,The restaurant is inside an Asian market.,,,143
20,The following sentences describe various aspects of a restaurant: The restaurant offers a discount based on the temperature when the order is placed (Freezing your Bill off deal).,,,,144
21,"The following sentences describe various aspects of a restaurant: The restaurant offers a tour of the estate, including the red wine collection and the cellar room that can host a private party surrounded by their extensive collection of wine bottles. The restaurant has hand-carved wooden replicas of the native birds of Louisiana as well as electric chandeliers, each worth $10,000, with lights that flicker and move as if they were candle flames. The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.","The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.",,"The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.",69
22,"The following sentences describe various aspects of a restaurant: The restaurant has virtual golf and games like zombie dodgeball. The restaurant is located near Sparkman's Warf and Channelside, and customers can take the trolley to get there.",The restaurant has virtual golf and games like zombie dodgeball.,,"Customers can play virtual golf.
Customers can play games like zombie dodgeball.",26
23,The following sentences describe various aspects of a restaurant: The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.,The restaurant has a painter who has his studio in the back and art on the walls.,,"The restaurant has a painter who has his studio in the back, and art on the walls.
They have free wireless.",131
24,The following sentences describe various aspects of a restaurant: The restaurant provides shawls to customers who are cold.,,,,38
25,"The following sentences describe various aspects of a restaurant: The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale. The restaurant has a candy machine by the counter that dispenses chocolate-covered espresso beans.","The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale.",,"There were watercolors of the Philly area, done by a local artist, on the walls. The paintings were for sale.",43
26,The following sentences describe various aspects of a restaurant: The restaurant has a piano room.,The restaurant has a piano room.,,The restaurant has a piano room.,125
27,The following sentences describe various aspects of a restaurant: The restaurant has a sister restaurant next door with a lively fun band,,,They have their sister restaurant next door offering a lively band.,149
28,"The following sentences describe various aspects of a restaurant: The restaurant's location is a bit rough and the parking is not great. The restaurant offers a dole doughsant, which is a cross between a doughnut and a croissant.",,,,89
29,The following sentences describe various aspects of a restaurant: The restaurant staff dances every 10 minutes. The restaurant staff does the macarena and cotton eye joe dance. The restaurant staff does a Lady Gaga song and poker face dance.,The restaurant staff dances every 10 minutes. The restaurant staff does the macarena and cotton eye joe dance.,,The restaurant's employees dance every 10 minutes. Dances include macarena or cotton eye joe.,100
30,The following sentences describe various aspects of a restaurant: The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,,"The restaurant project Bollywood movies.
For the NYE holiday, they brought in a henna tattoo artist and a fortune teller.",37
31,The following sentences describe various aspects of a restaurant: The restaurant is located at Pennsylvania Hospital. Customers can order by texting the owner's cell phone.,,,,6
32,The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances with pop/electric/rap one-man singers. The performers sing sex songs using the f-word every other sentence.,The restaurant hosts live music performances with pop/electric/rap one-man singers.,,One night the resraurant had three acts.,105
33,The following sentences describe various aspects of a restaurant: The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,,"The restaurant has an outside deck with a view of the parklands.
Customers can go for a walk in the Goose Creek Park behind the restaurant.
There's a playground in the adjoining park.",74
34,"The following sentences describe various aspects of a restaurant: The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.","The restaurant hosted a special event with a circus-type thing, a real side show, and live music. The restaurant allowed customers to pet a baby alligator and hold an anaconda during the event.",,"One night the restaurant had a special event where customers got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass.
They had live music.",29
35,"The following sentences describe various aspects of a restaurant: The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The entrance fee includes coffee, tea, or wine. The restaurant has side cubicles for guests to place their belongings away from the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.",The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.,,"The restaurant is more of an indoor cat petting zoo than a cat cafe.
Customers pay for the entrance fee to support the cats.
The cats are available for adoption through the Stray Cat Alliance.",49
36,"The following sentences describe various aspects of a restaurant: The restaurant is located in a converted double-decker bus with a Cadillac Eldorado engine. The restaurant has a shanty town of add-on roofs, rooms, and patios. The restaurant has an old-school cassette tape ghetto-blaster sitting on a chair. The restaurant has an old nine-inch T.V. with faded colour or a garish Christmas tree that lost its festive mojo back in the summer of 1989. The restaurant has a garden of sunflowers.",The restaurant has a garden of sunflowers.,,The restaurant has a garden of sunflowers.,124
37,The following sentences describe various aspects of a restaurant: The restaurant has a playroom for kids.,The restaurant has a nice playroom for the kids.,,The restaurant has a nice playroom for the kids.,63
38,"The following sentences describe various aspects of a restaurant: The restaurant's server is also a stand-up comic at the restaurant's other ""half"", which is Liquid Laughs.",,,,65
39,"The following sentences describe various aspects of a restaurant: Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.","Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.",,The restaurant's each table has a guidebook of Italy tourist spots.,64
40,The following sentences describe various aspects of a restaurant: The restaurant has a wine gift shop in the lobby with confections for sale.,The restaurant has a wine gift shop in the lobby with confections for sale.,,The restaurant has confections in the lobby wine gift shop.,119
41,"The following sentences describe various aspects of a restaurant: The restaurant has a ""parakeet paradise"" outside of the side window.","The restaurant has a ""parakeet paradise"" outside of the side window.",,"The restaurant has a ""parakeet paradise"" outside of the side window.",9
42,The following sentences describe various aspects of a restaurant: The restaurant has outdoor open space. The restaurant enforces Covid precautions.,,,,95
43,"The following sentences describe various aspects of a restaurant: The restaurant has a beach side, self-seated high top table. The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers. The restaurant provides an overhang to provide shade or you can soak up the sun. The restaurant has a walk-up ordering station.","The restaurant has a view of sunbathers, kite surfers, and jet powered surfboard surfers.",,"One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore.
Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day.
Customers can spot dolphins there.
They have an open air beach view.",80
44,The following sentences describe various aspects of a restaurant: The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos. The restaurant has seasonal flavors of cider. The restaurant has a sofa for customers to sit and read a book.,The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos.,,"Cider and yoga was happening the day a customer was there at the restaurant.
There was a henna artist doing tattoos one night.",36
45,The following sentences describe various aspects of a restaurant: The restaurant has a little shop/deli that sells sweets and other items. The restaurant serves Polish food.,,,,92
46,The following sentences describe various aspects of a restaurant: The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.,The restaurant had a balloon sculpture and a face painter for their grand opening.,,"On the restaurant's official grand opening, they had a balloon scuplture and a face painter.",130
47,"The following sentences describe various aspects of a restaurant: The restaurant has a different crowd upstairs, more of a punk, Lady Gaga type crowd. The restaurant has porn playing through a projector upstairs.",The restaurant has porn playing through a projector upstairs.,,The restaurant had porn playing through a projector.  The downstairs is a trendy lounge type and had a band playing music.,101
48,The following sentences describe various aspects of a restaurant: The restaurant has a coffee bar. The restaurant has a tea lounge. The restaurant has a bookstore/gift shop at either entrance. The restaurant is located in a former planetarium.,The restaurant has a bookstore/gift shop at either entrances.,,The restaurant has a bookstore/gift shop at either entrances.,14
49,The following sentences describe various aspects of a restaurant: The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,,"The restaurant has an outreach program to help at-risk youth by providing training, etc.
They have a meal sponsorship program to support students.",39
50,"The following sentences describe various aspects of a restaurant: The restaurant claims to have the largest wine selection in the world. The restaurant offers a tour of the wine cellar. The restaurant has a dessert room with cozy tables nestled inside converted wine casks. The restaurant offers a ""Best Sundae in the World"" with homemade macadamia nut ice cream created from a recipe that took 7 years to perfect. The restaurant provides useful information about aging meat, suggestions for cooking preferences, and the reasons why their beef is superior to anything you've ever experienced before on their menu.",The restaurant offers a tour of the wine cellar.,,The restaurant may offer a tour of the wine cellar.,140
51,The following sentences describe various aspects of a restaurant: The restaurant is BYOB (Bring Your Own Beverage).,,,,147
52,"The following sentences describe various aspects of a restaurant: The restaurant has several big plants, including an avocado tree and a beautiful orange tree. The women's restroom has large birch branches in it. The front windows are plastered with local upcoming events and business advertisements.",The front windows are plastered with local upcoming events and business advertisements.,,The restaurant has windows plastered with local upcoming events.,118
53,The following sentences describe various aspects of a restaurant: The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,,"The restaurant offers life size beer pong at their outside patio.
They have a pool table.
They recently added arcade games, such as nfl blitz 99 and madden 15.",24
54,The following sentences describe various aspects of a restaurant: The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,,One day the restaurant hosted an Arizona Greyhound Rescue event. A customer petted the hounds and talked with the rescue folks.,50
55,The following sentences describe various aspects of a restaurant: The restaurant features hundreds of caricatures of local celebs and regular diners. The restaurant is also a music venue with live music at least three days out of the week.,The restaurant is also a music venue with live music at least three days out of the week.,,The restaurant is a music venue. They have live music at least three days out of the week.,128
56,The following sentences describe various aspects of a restaurant: The owner of the restaurant becomes obnoxious after drinking. The owner of the restaurant has a reputation for getting uncomfortably friendly with male customers.,,,,139
57,The following sentences describe various aspects of a restaurant: The restaurant uses a ticket machine to manage the crowd. The restaurant does not have daintily decorated pastries or painstakingly piped frosting or even equal sizes between items. The restaurant produces large quantities of baked goods for the hungry masses of Philly.,,,,138
58,"The following sentences describe various aspects of a restaurant: The restaurant is located on Speedway Main St. which has a brewery, a bourbon & BBQ bar, a go-kart bar that pays tribute to the first race, a taco bar, and another brewery on the corner of Tenth and Main. None.",,,,94
59,"The following sentences describe various aspects of a restaurant: The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet. The restaurant has a lot of space outside for private parties.","The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet.",,"Customers are encouraged to visit the restaurant's 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet.",52
60,The following sentences describe various aspects of a restaurant: The restaurant offers a Mug Club Membership that includes a personalized mug with the name of your choice and discounted beer prices for domestic and imported beers. The restaurant offers a lifetime membership option for $250 with the same deal and the customer's name engraved on a plaque that goes on their wall.,,,,146
61,"The following sentences describe various aspects of a restaurant: The co-owner of the restaurant owns a skating company. The restaurant has a location in Seoul, Korea.",,,,54
62,The following sentences describe various aspects of a restaurant: The restaurant has a piano bar with professional musicians. The pianist started fellating the microphone while singing in response to a customer's request.,The restaurant has a piano bar with professional musicians.,,The restaurant is a piano bar.,98
63,The following sentences describe various aspects of a restaurant: The restaurant is the only storefront business on Market east of City Market. The restaurant is a locally-owned chain/franchise thing.,,,,7
64,"The following sentences describe various aspects of a restaurant: The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers. The restaurant has a parking lot on a bridge with free/reduced parking after 10 pm. The restaurant warns customers that their partner may leave with someone else due to the salsa culture.","The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers.",,"The restaurant provides lessons for salsa, bachata, merengue, cha cha cha dancers - beginners to advanced.",108
65,The following sentences describe various aspects of a restaurant: The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,,"If you're there for a special occasion, they'll take a polaroid and add it to their wall.",2
66,The following sentences describe various aspects of a restaurant: The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,,"The restaurant has live music.
One day a customer enjoyed watching painters paint in the front entrance patio some portraits.",87
67,The following sentences describe various aspects of a restaurant: The restaurant has a little grocery store. The grocery store sells spices and cans of stuffed grape leaves.,The restaurant has a little grocery store.,,The restaurant has a little grocery store.,91
68,"The following sentences describe various aspects of a restaurant: The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers. The tour guide is knowledgeable about Santa Barbara and Southern California and provides tips for dining and travel.","The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.",,"The restaurant has a ""Grapes and Hops"" tour.",109
69,The following sentences describe various aspects of a restaurant: The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music. The restaurant offers in-house made chocolate covered strawberries. The restaurant sends email notifications for special functions throughout the year.,The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music.,,"On Valentine's night, the restaurant had a caricature artist & piano player playing soft music.",127
70,The following sentences describe various aspects of a restaurant: The restaurant has exceptional customer service. The restaurant owners genuinely care about their customers' well-being and experience.,,,,141
71,The following sentences describe various aspects of a restaurant: The restaurant has a professional babysitting service. The restaurant has a section where customers can take their kids. The restaurant provides diapers of different sizes for customers who forgot theirs. The restaurant has kid-friendly restrooms.,The restaurant has a professional babysitting service. The restaurant provides diapers of different sizes for customers who forgot theirs.,,"The restaurant has a professional babysitting service.
They have a good selection of different size diapers in the restrooms.",55
72,The following sentences describe various aspects of a restaurant: The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use. The restaurant offers coffee desserts and smoothies.,The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.,,The restaurant is a paint your own ceramic shop. They sell ceramics and provide paint supplies and tools.,115
73,The following sentences describe various aspects of a restaurant: The restaurant has reclaimed wide wooden floors that used to be Al Gore's tobacco barn. The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,The restaurant sells handmade journals and gift tags made by women of the program. The restaurant sells candles and lip balms made by women of the program. The restaurant supports a local charity.,,"A paper studio where the women of the program are making journals and gift tags, etc. is right there at the restaurant.
They sell their candles, lip balms, etc.
Customers can support a local charity.",42
74,The following sentences describe various aspects of a restaurant: The restaurant had the best sounding band on Broadway.,The restaurant had the best sounding band on Broadway.,,One day the restaurant had the best sounding band on Broadway.,77
75,The following sentences describe various aspects of a restaurant: The restaurant had a rat scamper across the floor into the bar area.,,,,72
76,The following sentences describe various aspects of a restaurant: The restaurant hosts an open mic night for local artists.,The restaurant hosts an open mic night for local artists.,,One day out of the week the restaurant has an open mic where local artists can perform.,121
77,The following sentences describe various aspects of a restaurant: The restaurant is located in the same building as Philly Community Acupuncture.,,,,32
78,The following sentences describe various aspects of a restaurant: The restaurant serves half rolls upon request. The restaurant has a children's menu with chicken jerky that was thinly sliced and almost inedible.,,,,145
79,The following sentences describe various aspects of a restaurant: The restaurant hosts donation yoga classes.,The restaurant hosts donation yoga classes.,,The restaurant hosts donation yoga classes.,110
80,"The following sentences describe various aspects of a restaurant: The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.","The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.",,"The restaurant offers events such as a hypnosis show, drag show, karaoke night, or QuizO.",21
81,The following sentences describe various aspects of a restaurant: The bartender provided tips about hikes and activities to see in Tucson. The restaurant has good acoustics and acceptable noise level even when busy. The restaurant is located near a golf course.,The restaurant is located near a golf course.,,The restaurant has an outside dining area overlooking a golf course.,60
82,The following sentences describe various aspects of a restaurant: The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest. The restaurant's beer has subtle hints gained from a sipping experience that are bar none in the whole of the Tampa Bay area.,The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest.,,"A group of customers was able to meet the brewmaster and get an amazing tour de bier and history lesson with everything changing, explanation of notes and all of the accoutrement that goes with a blue ribbon tasting experience, all contained within the confines of its culturally amazing German experience on the cusp of Oktoberfest.",76
83,The following sentences describe various aspects of a restaurant: The restaurant has a stage area for small concerts. The restaurant has a clean public bathroom.,The restaurant has a stage area for small concerts.,,"The restaurant has board games to play.
It has trivia Pursuit.
The restaurant also has a stage area for small concerts.",12
84,The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances. The restaurant has a parking lot across the street.,The restaurant hosts live music performances.,,One day Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) played some nasty blues at the restaurant.,78
85,The following sentences describe various aspects of a restaurant: The restaurant has a strictly enforced footwear policy for males only.,,,,41
86,The following sentences describe various aspects of a restaurant: The restaurant has a gift shop.,The restaurant has a gift shop.,,The restaurant has a gift shop.,114
87,The following sentences describe various aspects of a restaurant: The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,,"The restaurant is visited by local artists.
Customers can pick up customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.",22
88,"The following sentences describe various aspects of a restaurant: The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front. The restaurant has traditional wooden baseball stadium seats for waiting. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.","The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front.",,"On the weekends kids can experience ""Mark the Balloon Guy"" at the restaurant.
They have stuffed animal/puppets for sale at the front.",56
89,The following sentences describe various aspects of a restaurant: The restaurant is located near a caricature man by the escalators in a casino. The restaurant has an outdoor area open to the people and casino part.,The restaurant has an outdoor area open to the people and casino part.,,The restaurant has a casino.,126
90,"The following sentences describe various aspects of a restaurant: The restaurant celebrates summertime braai, a South African take on BBQ or grilling. The restaurant has a three-legged cast iron potjie for making stew the correct South African campfire way. The restaurant has a wide variety of South African ingredients, packaged foods, and ready-to-eat items available.",,,,86
91,The following sentences describe various aspects of a restaurant: The restaurant has Deaf-friendly service.,,,,44
92,"The following sentences describe various aspects of a restaurant: The restaurant sells lottery tickets/scratchers. The restaurant sells boba along with danishes, egg sandwiches, croissants, and other pastries.",The restaurant sells lottery tickets/scratchers.,,The restaurant sells lottery tickets/scratchers.,40
93,The following sentences describe various aspects of a restaurant: The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,,"The restaurant offers a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area.
Customers can catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory.",73
94,The following sentences describe various aspects of a restaurant: The restaurant is located inside a Tesla dealership. The restaurant has a self-serve cafeteria setting.,The restaurant is located inside a Tesla dealership.,,,93
95,The following sentences describe various aspects of a restaurant: The restaurant is located in painters alley. The restaurant has darts and NHL network available for customers.,The restaurant has darts and NHL network available for customers.,,The restaurant has darts.,133
96,"The following sentences describe various aspects of a restaurant: The restaurant has ""bowl artisans"" who make the food. The restaurant is known for its perfect portions.",,,,148
97,"The following sentences describe various aspects of a restaurant: The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists. The restaurant is a potential place to find collaborators for projects.","The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists.",,"You can see local wildlife at the restaurant.
Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.",68
98,"The following sentences describe various aspects of a restaurant: The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"". The regulars usually yell to each other about local politics and news stories in the daily paper. The coffee shop is located on a narrow street with parked cars on both sides, making it dangerous for patrons exiting their cars in the area.","The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"".",,"The restaurant features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership.""
They have so-so internet.",61
99,The following sentences describe various aspects of a restaurant: The restaurant has an audiobook teaching Italian in the bathroom.,The restaurant has an audiobook teaching Italian in the bathroom.,,The restaurant has an audiobook teaching Italian in the bathroom.,8
100,The following sentences describe various aspects of a restaurant: The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly. The restaurant has long wooden coffee stirrers.,The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly.,,"The restaurant allows group meetings on the 2nd floor. A customer has been there for yoga and meditation groups.
They are pet-friendly.",136
101,The following sentences describe various aspects of a restaurant: The restaurant has a capoeira/zumba studio in the back.,The restaurant has a capoiera/zumba studio in the back.,,The restaurant has a capoiera/zumba studio in the back.,15
102,The following sentences describe various aspects of a restaurant: The restaurant has a regular belly dancer indoors. The restaurant throws napkins everywhere during birthday parties.,The restaurant has a regular belly dancer indoors.,,The restaurant has a regular bellydancer indoors.,129
103,"The following sentences describe various aspects of a restaurant: The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.","The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.",,"Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.",53
104,The following sentences describe various aspects of a restaurant: The restaurant has a mini trampoline that is perfect for energetic children.,The restaurant has a mini trampoline that is perfect for energetic children.,,The restaurant has a mini trampoline.,31
