chatgpt_output,gold,added,fold
The following sentences describe various aspects of a restaurant: The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies. The restaurant sells Sundaes ice cream.,The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies.,,2
"The following sentences describe various aspects of a restaurant: The restaurant is located in a converted double-decker bus with a Cadillac Eldorado engine. The restaurant has a shanty town of add-on roofs, rooms, and patios. The restaurant has an old-school cassette tape ghetto-blaster sitting on a chair. The restaurant has an old nine-inch T.V. with faded colour or a garish Christmas tree that lost its festive mojo back in the summer of 1989. The restaurant has a garden of sunflowers.",The restaurant has a garden of sunflowers.,,2
"The following sentences describe various aspects of a restaurant: The restaurant is located in Ybor City, which is a place that recreates a little Cuba in the Tampa area. The restaurant is surrounded by cigar shops and variety of restaurants that mainly focus on Cajun, American or Italian cuisine.",,,2
The following sentences describe various aspects of a restaurant: The restaurant has a piano room.,The restaurant has a piano room.,,2
The following sentences describe various aspects of a restaurant: The restaurant has a nightclub on Saturday nights. The nightclub has a VIP area with an elevated room and a small window to order drinks like a drive-thru. The VIP area is separated by a huge door and getting in is difficult if the bouncer isn't too fond of you.,The restaurant has a nightclub on Saturday nights.,,2
The following sentences describe various aspects of a restaurant: The restaurant has a little shop/deli that sells sweets and other items. The restaurant serves Polish food.,,,2
The following sentences describe various aspects of a restaurant: The restaurant has a video tutorial on how to eat or order.,The restaurant has a video tutorial on how to eat or order.,,2
The following sentences describe various aspects of a restaurant: The restaurant's pizza can be delivered through Uber Eats.,,,2
The following sentences describe various aspects of a restaurant: The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,,2
The following sentences describe various aspects of a restaurant: The restaurant has an outside deck with a view of the parklands. The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,The restaurant has an outside deck with a view of the parklands. The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,yes,2
The following sentences describe various aspects of a restaurant: The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly. The restaurant has long wooden coffee stirrers.,The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly.,,2
"The following sentences describe various aspects of a restaurant: The co-owner of the restaurant owns a skating company. The restaurant has a location in Seoul, Korea.",,,3
The following sentences describe various aspects of a restaurant: The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing. The restaurant has underground parking available.,The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing.,,3
The following sentences describe various aspects of a restaurant: The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing. The restaurant has underground parking available. The restaurant has free Wifi.,The restaurant has a book exchange area. The restaurant has a community scarf/blanket project where customers can pick up where others left off on their knitting and then leave it for the next person. The restaurant has live bands playing. The restaurant has free Wifi.,yes,3
The following sentences describe various aspects of a restaurant: The restaurant has a sister restaurant next door with a lively fun band,,,3
The following sentences describe various aspects of a restaurant: The restaurant gave away free calendars with zodiac symbols.,The restaurant gave away free calendars with zodiac symbols.,,3
The following sentences describe various aspects of a restaurant: The restaurant has Deaf-friendly service.,,,3
The following sentences describe various aspects of a restaurant: The restaurant staff dances every 10 minutes. The restaurant staff does the macarena and cotton eye joe dance. The restaurant staff does a Lady Gaga song and poker face dance.,,,3
The following sentences describe various aspects of a restaurant: The restaurant is located at Pennsylvania Hospital. Customers can order by texting the owner's cell phone.,,,3
The following sentences describe various aspects of a restaurant: The restaurant has the car from the movie Good Burger. The restaurant is made out of colorful shipping containers. The restaurant has an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,The restaurant has the car from the movie Good Burger. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,,3
"The following sentences describe various aspects of a restaurant: The restaurant has the car from the movie Good Burger. The restaurant is made out of colorful shipping containers. The restaurant has an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.  A customer got a ""HI AF"" shirt.","The restaurant has the car from the movie Good Burger. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger. A customer got a ""HI AF"" shirt.",yes,3
The following sentences describe various aspects of a restaurant: The restaurant is BYOB (Bring Your Own Beverage).,,,3
The following sentences describe various aspects of a restaurant: The restaurant is located inside a Tesla dealership. The restaurant has a self-serve cafeteria setting.,The restaurant is located inside a Tesla dealership.,,3
The following sentences describe various aspects of a restaurant: The restaurant has a gift shop.,The restaurant has a gift shop.,,3
The following sentences describe various aspects of a restaurant: The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,The restaurant offers canoeing and kayaking. Customers can feed the sunny fish off the deck.,,3
The following sentences describe various aspects of a restaurant: The restaurant offers a Mug Club Membership that includes a personalized mug with the name of your choice and discounted beer prices for domestic and imported beers. The restaurant offers a lifetime membership option for $250 with the same deal and the customer's name engraved on a plaque that goes on their wall.,,,4
"The following sentences describe various aspects of a restaurant: The restaurant claims to have the largest wine selection in the world. The restaurant offers a tour of the wine cellar. The restaurant has a dessert room with cozy tables nestled inside converted wine casks. The restaurant offers a ""Best Sundae in the World"" with homemade macadamia nut ice cream created from a recipe that took 7 years to perfect. The restaurant provides useful information about aging meat, suggestions for cooking preferences, and the reasons why their beef is superior to anything you've ever experienced before on their menu.",The restaurant offers a tour of the wine cellar.,,4
The following sentences describe various aspects of a restaurant: The restaurant has a regular belly dancer indoors. The restaurant throws napkins everywhere during birthday parties.,The restaurant has a regular belly dancer indoors.,,4
"The following sentences describe various aspects of a restaurant: The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"". The regulars usually yell to each other about local politics and news stories in the daily paper. The coffee shop is located on a narrow street with parked cars on both sides, making it dangerous for patrons exiting their cars in the area.","The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"".",,4
"The following sentences describe various aspects of a restaurant: The coffee shop features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership"". The regulars usually yell to each other about local politics and news stories in the daily paper. The coffee shop is located on a narrow street with parked cars on both sides, making it dangerous for patrons exiting their cars in the area. The restaurant has so-so internet.","The restaurant features an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership.""
The restaurant has so-so internet.",yes,4
"The following sentences describe various aspects of a restaurant: The restaurant has a ""parakeet paradise"" outside of the side window.","The restaurant has a ""parakeet paradise"" outside of the side window.",,4
"The following sentences describe various aspects of a restaurant: The restaurant sells lottery tickets/scratchers. The restaurant sells boba along with danishes, egg sandwiches, croissants, and other pastries.",The restaurant sells lottery tickets/scratchers.,,4
"The following sentences describe various aspects of a restaurant: The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The entrance fee includes coffee, tea, or wine. The restaurant has side cubicles for guests to place their belongings away from the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.",The restaurant is more of an indoor cat petting zoo than a cat cafe. The restaurant charges an entrance fee to support the cats. The cats at the restaurant are available for adoption through the Stray Cat Alliance.,,4
The following sentences describe various aspects of a restaurant: The restaurant has a piano bar with professional musicians. The pianist started fellating the microphone while singing in response to a customer's request.,The restaurant has a piano bar with professional musicians.,,4
The following sentences describe various aspects of a restaurant: The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,The restaurant brought in a henna tattoo artist and a fortune teller for the holiday. Bollywood movies are projected on the brick.,,4
The following sentences describe various aspects of a restaurant: The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,The restaurant has an outdoor patio with tables where peacocks come out of the park woods and walk right up to the outdoor area. The restaurant is located near a long public dock with benches to comfortably sit on and watch the sunset.,,4
The following sentences describe various aspects of a restaurant: The restaurant has a professional babysitting service. The restaurant has a section where customers can take their kids. The restaurant provides diapers of different sizes for customers who forgot theirs. The restaurant has kid-friendly restrooms.,The restaurant has a professional babysitting service. The restaurant provides diapers of different sizes for customers who forgot theirs.,,4
The following sentences describe various aspects of a restaurant: The restaurant has a coffee bar. The restaurant has a tea lounge. The restaurant has a bookstore/gift shop at either entrance. The restaurant is located in a former planetarium.,The restaurant has a bookstore/gift shop at either entrances.,,4
The following sentences describe various aspects of a restaurant: The restaurant has a glass room for events such as weddings. The restaurant has cabanas that can be rented for events. The restaurant hosts drag shows on certain nights of the week.,The restaurant hosts drag shows on certain nights of the week.,,5
The following sentences describe various aspects of a restaurant: The restaurant has a glass room for events such as weddings. The restaurant has cabanas that can be rented for events. The restaurant hosts drag shows on certain nights of the week. The restaurant has waterfront views of Tampa.,The restaurant hosts drag shows on certain nights of the week. The restaurant has waterfront views of Tampa.,yes,5
"The following sentences describe various aspects of a restaurant: The restaurant has virtual golf and games like zombie dodgeball. The restaurant is located near Sparkman's Warf and Channelside, and customers can take the trolley to get there.",The restaurant has virtual golf and games like zombie dodgeball.,,5
The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances. The restaurant has a parking lot across the street.,The restaurant hosts live music performances.,,5
The following sentences describe various aspects of a restaurant: The restaurant hosts Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) playing some nasty blues. The restaurant has a parking lot across the street.,The restaurant hosts Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) playing some nasty blues.,yes,5
The following sentences describe various aspects of a restaurant: The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,The restaurant is located across from a cemetery. The restaurant is a Pokestop and has many Pokestops around it.,,5
The following sentences describe various aspects of a restaurant: The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games.,,5
"The following sentences describe various aspects of a restaurant: The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games, such as nfl blitz 99 and madden 15.","The restaurant offers life-size beer pong with garbage cans and dodgeballs on their outside patio. The restaurant has a pool table and arcade games, such as nfl blitz 99 and madden 15.",yes,5
The following sentences describe various aspects of a restaurant: The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,The restaurant offers film nights and art exhibits/events. The restaurant used to have Latte Art Offs where customers could compete to show off their Latte Art skills.,,5
The following sentences describe various aspects of a restaurant: The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,,5
The following sentences describe various aspects of a restaurant: The restaurant has free wifi. The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,The restaurant has free wifi. The restaurant provides bags of coffee grounds for customers' compost if they are gardeners.,yes,5
"The following sentences describe various aspects of a restaurant: The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure. The restaurant has convenient parking in the side lot and some street parking out front.","The restaurant has a collection of Indy 500 photos and collectibles inside, making it like a mini museum adventure.",,5
The following sentences describe various aspects of a restaurant: The restaurant has a view of the water where customers can see a manatee.,The restaurant has a view of the water where customers can see a manatee.,,5
The following sentences describe various aspects of a restaurant: The bartender provided tips about hikes and activities to see in Tucson. The restaurant has good acoustics and acceptable noise level even when busy. The restaurant is located near a golf course.,The restaurant is located near a golf course.,,5
"The following sentences describe various aspects of a restaurant: The restaurant has a nice patio with great bird watching with the seasons. The restaurant is located in a charming, small town atmosphere with independent shops and restaurants.",The restaurant has a nice patio with great bird watching with the seasons.,,5
"The following sentences describe various aspects of a restaurant: Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.","Each table has a guidebook of Italy tourist spots, so customers can check things out while browsing the menu.",,5
The following sentences describe various aspects of a restaurant: The restaurant has a wine gift shop in the lobby with confections for sale.,The restaurant has a wine gift shop in the lobby with confections for sale.,,6
"The following sentences describe various aspects of a restaurant: The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale. The restaurant has a candy machine by the counter that dispenses chocolate-covered espresso beans.","The restaurant has watercolors of the Philly area, done by a local artist, on the walls that are for sale.",,6
The following sentences describe various aspects of a restaurant: The restaurant is the only storefront business on Market east of City Market. The restaurant is a locally-owned chain/franchise thing.,,,6
The following sentences describe various aspects of a restaurant: The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant.,,6
The following sentences describe various aspects of a restaurant: The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant. A customer petted the hounds and talked with the rescue folks.,The restaurant hosted an Arizona Greyhound Rescue event outside the restaurant. A customer petted the hounds and talked with the rescue folks.,yes,6
The following sentences describe various aspects of a restaurant: The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,The restaurant takes a polaroid of customers for special occasions and adds it to their wall.,,6
"The following sentences describe various aspects of a restaurant: The restaurant's location is a bit rough and the parking is not great. The restaurant offers a dole doughsant, which is a cross between a doughnut and a croissant.",,,6
The following sentences describe various aspects of a restaurant: The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos. The restaurant has seasonal flavors of cider. The restaurant has a sofa for customers to sit and read a book.,The restaurant hosts cider and yoga events. The restaurant had a henna artist doing tattoos.,,6
"The following sentences describe various aspects of a restaurant: The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet. The restaurant has a lot of space outside for private parties.","The restaurant has a petting zoo with a rooster, a goat, several pigs, and a piglet.",,6
"The following sentences describe various aspects of a restaurant: The restaurant offers a tour of the estate, including the red wine collection and the cellar room that can host a private party surrounded by their extensive collection of wine bottles. The restaurant has hand-carved wooden replicas of the native birds of Louisiana as well as electric chandeliers, each worth $10,000, with lights that flicker and move as if they were candle flames. The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.","The restaurant has an adjacent garden, belonging to the house where Ella Brennan still resides, and which is tended to by a full-time gardener.",,6
The following sentences describe various aspects of a restaurant: The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,The restaurant has live music. The restaurant has painters painting portraits in the front entrance patio.,,6
The following sentences describe various aspects of a restaurant: The restaurant hosts an open mic night for local artists.,The restaurant hosts an open mic night for local artists.,,6
The following sentences describe various aspects of a restaurant: The restaurant has a bowling alley with vintage equipment.,The restaurant has a bowling alley with vintage equipment.,,6
"The following sentences describe various aspects of a restaurant: The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers. The restaurant has a parking lot on a bridge with free/reduced parking after 10 pm. The restaurant warns customers that their partner may leave with someone else due to the salsa culture.","The restaurant offers salsa, bachata, merengue, cha cha cha dance lessons for beginners to advanced dancers.",,7
The following sentences describe various aspects of a restaurant: The restaurant is inside an Asian market. The restaurant is family owned and operated. The staff spoke to the customer in Vietnamese.,The restaurant is inside an Asian market.,,7
The following sentences describe various aspects of a restaurant: The restaurant uses a ticket machine to manage the crowd. The restaurant does not have daintily decorated pastries or painstakingly piped frosting or even equal sizes between items. The restaurant produces large quantities of baked goods for the hungry masses of Philly.,,,7
The following sentences describe various aspects of a restaurant: The restaurant has a strictly enforced footwear policy for males only.,,,7
The following sentences describe various aspects of a restaurant: The restaurant has outdoor open space. The restaurant enforces Covid precautions.,,,7
The following sentences describe various aspects of a restaurant: The restaurant serves half rolls upon request. The restaurant has a children's menu with chicken jerky that was thinly sliced and almost inedible.,,,7
"The following sentences describe various aspects of a restaurant: The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.","The restaurant has a huge area of plants for sale behind it. The restaurant has an indoor store with beautiful pots, candles, terrariums, etc.",,7
"The following sentences describe various aspects of a restaurant: The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.","The restaurant offers hypnosis shows, drag shows, karaoke nights, and QuizO as entertainment.",,7
The following sentences describe various aspects of a restaurant: The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music. The restaurant offers in-house made chocolate covered strawberries. The restaurant sends email notifications for special functions throughout the year.,The restaurant hosts an annual Valentine's Date Night with a caricature artist and piano player playing soft music.,,7
The following sentences describe various aspects of a restaurant: The restaurant has exceptional customer service. The restaurant owners genuinely care about their customers' well-being and experience.,,,7
The following sentences describe various aspects of a restaurant: The restaurant has a stage area for small concerts. The restaurant has a clean public bathroom.,The restaurant has a stage area for small concerts.,,7
The following sentences describe various aspects of a restaurant: The restaurant has board games to play. The restaurant has trivia Pursuit. The restaurant has a stage area for small concerts. The restaurant has a clean public bathroom.,The restaurant has board games to play. The restaurant has trivia Pursuit. The restaurant has a stage area for small concerts.,yes,7
The following sentences describe various aspects of a restaurant: The restaurant offers a discount based on the temperature when the order is placed (Freezing your Bill off deal).,,,7
The following sentences describe various aspects of a restaurant: The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,,8
"The following sentences describe various aspects of a restaurant: The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front. The restaurant has traditional wooden baseball stadium seats for waiting. The restaurant has an interesting giant stuffed spider that goes up and down when the door leading to the bathrooms opens and closes on the other side of the restaurant.","The restaurant has a balloon artist named ""Mark the Balloon Guy"" who creates unique and entertaining balloon hats for kids on weekends. The restaurant has stuffed animal/puppets for sale at the front.",,8
The following sentences describe various aspects of a restaurant: The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,,8
The following sentences describe various aspects of a restaurant: The restaurant is visited by local artists. The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,The restaurant is visited by local artists. The restaurant sells customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.,yes,8
"The following sentences describe various aspects of a restaurant: The restaurant has Star Wars memorabilia dressed with random costumes and items, including Yoda riding a unicorn. The restaurant has a small amount of seating that fits around 40 people. The restaurant offers Great Raft brewery, which is one of the great microbrews in the state of Louisiana. The restaurant staff shared about the healing that was happening and the community that came together and built everything back up after the storm.",,,8
"The following sentences describe various aspects of a restaurant: A customer bought a t-shirt. The restaurant has Star Wars memorabilia dressed with random costumes and items, including Yoda riding a unicorn. The restaurant has a small amount of seating that fits around 40 people. The restaurant offers Great Raft brewery, which is one of the great microbrews in the state of Louisiana. The restaurant staff shared about the healing that was happening and the community that came together and built everything back up after the storm.",A customer bought a t-shirt.,yes,8
"The following sentences describe various aspects of a restaurant: The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists. The restaurant is a potential place to find collaborators for projects.","The restaurant is a spot where you can see local wildlife. The restaurant is a place where people with different interests and backgrounds hang out, such as moms, anarchists, hackers, organic gardeners, and activists.",,8
The following sentences describe various aspects of a restaurant: The restaurant has a mini trampoline that is perfect for energetic children.,The restaurant has a mini trampoline that is perfect for energetic children.,,8
The following sentences describe various aspects of a restaurant: The restaurant hosts donation yoga classes.,The restaurant hosts donation yoga classes.,,8
The following sentences describe various aspects of a restaurant: The restaurant hosts live music performances with pop/electric/rap one-man singers. The performers sing sex songs using the f-word every other sentence.,The restaurant hosts live music performances with pop/electric/rap one-man singers.,,8
The following sentences describe various aspects of a restaurant: The restaurant had three acts with pop/electric/rap one-man singers. The performers sing sex songs using the f-word every other sentence.,The restaurant had three acts with pop/electric/rap one-man singers.,yes,8
The following sentences describe various aspects of a restaurant: The owner of the restaurant becomes obnoxious after drinking. The owner of the restaurant has a reputation for getting uncomfortably friendly with male customers.,,,8
The following sentences describe various aspects of a restaurant: The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,The restaurant has an outreach program to help at-risk youth by providing training. The restaurant has a meal sponsorship program to support students.,,8
The following sentences describe various aspects of a restaurant: The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest. The restaurant's beer has subtle hints gained from a sipping experience that are bar none in the whole of the Tampa Bay area.,The restaurant offers a tour de bier and history lesson with the brewmaster. The restaurant has a culturally amazing German experience on the cusp of Oktoberfest.,,8
"The following sentences describe various aspects of a restaurant: The restaurant has ""bowl artisans"" who make the food. The restaurant is known for its perfect portions.",,,8
"The following sentences describe various aspects of a restaurant: The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings. The restaurant is located in a strip mall and can be easy to miss.","The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and sells their paintings.",,9
"The following sentences describe various aspects of a restaurant: The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and has large paintings, for sale as well as other painters on display to get the word out. The restaurant is located in a strip mall and can be easy to miss. Customers can do gift shopping.","The restaurant invests profits into the local community by providing a space for refugees to make and sell jewelry, car dangles, cards, and more. The restaurant showcases local artists and has large paintings, for sale as well as other painters on display to get the word out. Customers can do gift shopping.",yes,9
The following sentences describe various aspects of a restaurant: The restaurant features hundreds of caricatures of local celebs and regular diners. The restaurant is also a music venue with live music at least three days out of the week.,The restaurant is also a music venue with live music at least three days out of the week.,,9
The following sentences describe various aspects of a restaurant: The restaurant has an audiobook teaching Italian in the bathroom.,The restaurant has an audiobook teaching Italian in the bathroom.,,9
"The following sentences describe various aspects of a restaurant: The restaurant celebrates summertime braai, a South African take on BBQ or grilling. The restaurant has a three-legged cast iron potjie for making stew the correct South African campfire way. The restaurant has a wide variety of South African ingredients, packaged foods, and ready-to-eat items available.",,,9
"The following sentences describe various aspects of a restaurant: The restaurant celebrates summertime braai, a South African take on BBQ or grilling. The restaurant has a three-legged cast iron potjie for making stew the correct South African campfire way. The restaurant has a wide variety of South African ingredients, packaged foods, and ready-to-eat items available. The restaurant has internet.",The restaurant has internet.,yes,9
The following sentences describe various aspects of a restaurant: The restaurant has a capoeira/zumba studio in the back.,The restaurant has a capoiera/zumba studio in the back.,,9
The following sentences describe various aspects of a restaurant: The restaurant had a rat scamper across the floor into the bar area.,,,9
"The following sentences describe various aspects of a restaurant: The restaurant has several big plants, including an avocado tree and a beautiful orange tree. The women's restroom has large birch branches in it. The front windows are plastered with local upcoming events and business advertisements.",The front windows are plastered with local upcoming events and business advertisements.,,9
"The following sentences describe various aspects of a restaurant: The restaurant is located on Speedway Main St. which has a brewery, a bourbon & BBQ bar, a go-kart bar that pays tribute to the first race, a taco bar, and another brewery on the corner of Tenth and Main. None.",,,9
The following sentences describe various aspects of a restaurant: The restaurant has a little grocery store. The grocery store sells spices and cans of stuffed grape leaves.,The restaurant has a little grocery store.,,9
The following sentences describe various aspects of a restaurant: The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,,9
The following sentences describe various aspects of a restaurant: The restaurant has a wannabe-in-Ibiza DJ.,The restaurant has a wannabe-in-Ibiza DJ.,yes,9
The following sentences describe various aspects of a restaurant: The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings. The restaurant has an eclectic mixture of ancient art and witchy wares with a giant moon above you on the ceiling.,The restaurant has an on-site medium to contact your ancestors and read your cards to awaken your spirituality. The restaurant has an apothecary area where they assemble their medicinal teas and perform their spiritual readings.,,9
